quarter,sex,average_monthly_earnings
1998-Q1,total,2800
1998-Q2,total,2544
1998-Q3,total,2511
1998-Q4,total,3104
1999-Q1,total,2793
1999-Q2,total,2570
1999-Q3,total,2600
1999-Q4,total,3287
2000-Q1,total,3018
2000-Q2,total,2755
2000-Q3,total,2826
2000-Q4,total,3653
2001-Q1,total,3189
2001-Q2,total,2919
2001-Q3,total,2963
2001-Q4,total,3463
2002-Q1,total,3206
2002-Q2,total,2931
2002-Q3,total,2949
2002-Q4,total,3548
2003-Q1,total,3283
2003-Q2,total,2975
2003-Q3,total,2988
2003-Q4,total,3605
2004-Q1,total,3428
2004-Q2,total,3097
2004-Q3,total,3030
2004-Q4,total,3762
2005-Q1,total,3592
2005-Q2,total,3175
2005-Q3,total,3166
2005-Q4,total,3843
2006-Q1,total,3700
2006-Q2,total,3297
2006-Q3,total,3256
2006-Q4,total,3961
2007-Q1,total,3903
2007-Q2,total,3578
2007-Q3,total,3481
2007-Q4,total,4130
2008-Q1,total,4316
2008-Q2,total,3690
2008-Q3,total,3674
2008-Q4,total,4229
2009-Q1,total,4155
2009-Q2,total,3609
2009-Q3,total,3562
2009-Q4,total,4160
2010-Q1,total,4310
2010-Q2,total,3819
2010-Q3,total,3754
2010-Q4,total,4474
2011-Q1,total,4677
2011-Q2,total,4048
2011-Q3,total,3956
2011-Q4,total,4655
2012-Q1,total,4717
2012-Q2,total,4162
2012-Q3,total,4078
2012-Q4,total,4773
2013-Q1,total,4948
2013-Q2,total,4329
2013-Q3,total,4212
2013-Q4,total,4998
2014-Q1,total,5108
2014-Q2,total,4445
2014-Q3,total,4314
2014-Q4,total,5040
2015-Q1,total,5259
2015-Q2,total,4611
2015-Q3,total,4493
2015-Q4,total,5205
2016-Q1,total,5483
2016-Q2,total,4789
2016-Q3,total,4646
2016-Q4,total,5379
2017-Q1,total,5586
2017-Q2,total,4939
2017-Q3,total,4795
2017-Q4,total,5596
2018-Q1,total,5808
2018-Q2,total,5119
2018-Q3,total,4962
2018-Q4,total,5752
2019-Q1,total,6005
2019-Q2,total,5225
2019-Q3,total,5183
1998-Q1,male,3243
1998-Q2,male,2919
1998-Q3,male,2881
1998-Q4,male,3522
1999-Q1,male,3231
1999-Q2,male,2945
1999-Q3,male,2980
1999-Q4,male,3732
2000-Q1,male,3501
2000-Q2,male,3162
2000-Q3,male,3250
2000-Q4,male,4160
2001-Q1,male,3702
2001-Q2,male,3351
2001-Q3,male,3419
2001-Q4,male,3953
2002-Q1,male,3707
2002-Q2,male,3365
2002-Q3,male,3392
2002-Q4,male,4062
2003-Q1,male,3808
2003-Q2,male,3421
2003-Q3,male,3434
2003-Q4,male,4130
2004-Q1,male,3953
2004-Q2,male,3568
2004-Q3,male,3485
2004-Q4,male,4294
2005-Q1,male,4143
2005-Q2,male,3663
2005-Q3,male,3649
2005-Q4,male,4394
2006-Q1,male,4259
2006-Q2,male,3794
2006-Q3,male,3752
2006-Q4,male,4517
2007-Q1,male,4484
2007-Q2,male,4127
2007-Q3,male,4014
2007-Q4,male,4717
2008-Q1,male,4942
2008-Q2,male,4241
2008-Q3,male,4238
2008-Q4,male,4820
2009-Q1,male,4787
2009-Q2,male,4137
2009-Q3,male,4092
2009-Q4,male,4730
2010-Q1,male,4955
2010-Q2,male,4380
2010-Q3,male,4310
2010-Q4,male,5098
2011-Q1,male,5351
2011-Q2,male,4653
2011-Q3,male,4546
2011-Q4,male,5304
2012-Q1,male,5418
2012-Q2,male,4778
2012-Q3,male,4688
2012-Q4,male,5436
2013-Q1,male,5661
2013-Q2,male,4978
2013-Q3,male,4844
2013-Q4,male,5682
2014-Q1,male,5845
2014-Q2,male,5100
2014-Q3,male,4957
2014-Q4,male,5745
2015-Q1,male,6019
2015-Q2,male,5280
2015-Q3,male,5136
2015-Q4,male,5900
2016-Q1,male,6239
2016-Q2,male,5472
2016-Q3,male,5301
2016-Q4,male,6084
2017-Q1,male,6339
2017-Q2,male,5637
2017-Q3,male,5458
2017-Q4,male,6306
2018-Q1,male,6564
2018-Q2,male,5818
2018-Q3,male,5627
2018-Q4,male,6461
2019-Q1,male,6772
2019-Q2,male,5938
2019-Q3,male,5423
1998-Q1,female,2266
1998-Q2,female,2091
1998-Q3,female,2064
1998-Q4,female,2602
1999-Q1,female,2271
1999-Q2,female,2124
1999-Q3,female,2151
1999-Q4,female,2762
2000-Q1,female,2449
2000-Q2,female,2278
2000-Q3,female,2331
2000-Q4,female,3062
2001-Q1,female,2596
2001-Q2,female,2420
2001-Q3,female,2438
2001-Q4,female,2899
2002-Q1,female,2631
2002-Q2,female,2433
2002-Q3,female,2444
2002-Q4,female,2960
2003-Q1,female,2686
2003-Q2,female,2468
2003-Q3,female,2484
2003-Q4,female,3011
2004-Q1,female,2837
2004-Q2,female,2569
2004-Q3,female,2520
2004-Q4,female,3165
2005-Q1,female,2976
2005-Q2,female,2630
2005-Q3,female,2628
2005-Q4,female,3228
2006-Q1,female,3078
2006-Q2,female,2744
2006-Q3,female,2704
2006-Q4,female,3341
2007-Q1,female,3257
2007-Q2,female,2967
2007-Q3,female,2890
2007-Q4,female,3478
2008-Q1,female,3622
2008-Q2,female,3079
2008-Q3,female,3052
2008-Q4,female,3576
2009-Q1,female,3457
2009-Q2,female,3025
2009-Q3,female,2976
2009-Q4,female,3530
2010-Q1,female,3598
2010-Q2,female,3203
2010-Q3,female,3145
2010-Q4,female,3791
2011-Q1,female,3943
2011-Q2,female,3390
2011-Q3,female,3316
2011-Q4,female,3951
2012-Q1,female,3960
2012-Q2,female,3498
2012-Q3,female,3422
2012-Q4,female,4061
2013-Q1,female,4186
2013-Q2,female,3637
2013-Q3,female,3540
2013-Q4,female,4271
2014-Q1,female,4329
2014-Q2,female,3755
2014-Q3,female,3639
2014-Q4,female,4302
2015-Q1,female,4467
2015-Q2,female,3914
2015-Q3,female,3825
2015-Q4,female,4484
2016-Q1,female,4701
2016-Q2,female,4084
2016-Q3,female,3971
2016-Q4,female,4655
2017-Q1,female,4816
2017-Q2,female,4228
2017-Q3,female,4119
2017-Q4,female,4873
2018-Q1,female,5040
2018-Q2,female,4411
2018-Q3,female,4289
2018-Q4,female,5033
2019-Q1,female,5232
2019-Q2,female,4506
2019-Q3,female,4512
