year, Total Changes In Employment ,     Goods Producing Industries * ,         Manufacturing ,         Construction ,         Others ,     Services Producing Industries ,         Wholesale & Retail Trade ,         Transportation & Storage ,         Accommodation & Food Services ,         Information & Communications ,         Financial & Insurance Services ,         Business Services * ,             Real Estate Services ,         Other Services Industries ,             Public Administration & Education ,             Health & Social Services 
1991,52400,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1992,40300,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1993,70800,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1994,72100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1995,109000,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1996,102600,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1997,120300,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1998,-23400,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1999,39900,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2000,108500,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2001,-100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2002,-22900,-39400,-5400,-34300,300,16500,-100,3600,3300,-2100,-2000,1500,600,12400,4200,2000
2003,-12900,-22800,-5000,-17500,-400,9900,-2300,-700,1900,-2500,2200,4100,-800,7100,4300,1800
2004,71400,16500,27000,-9100,-1300,54900,11000,2700,4100,2800,6200,15300,-200,12800,1300,1800
2005,113300,39500,29100,8700,1700,73800,12600,6400,5700,3700,7700,20200,2300,17500,4100,1400
2006,176000,63300,41600,20500,1100,112700,18500,6000,12600,6500,11300,34100,4200,23700,6100,3000
2007,234900,91800,49300,40400,2100,143100,19900,5000,16300,6300,21900,41600,8400,32100,6300,5600
2008,221600,85200,19500,64000,1600,136400,16400,13700,16900,5700,11500,36100,6300,36100,6600,6600
2009,37600,-19600,-42600,24200,-1200,57200,4600,-2500,2300,2900,1400,14900,2600,33600,12000,5600
2010,115900,5600,4600,500,500,110300,13100,6700,15600,8500,6600,25800,2400,34000,7800,7900
2011,122600,28400,5800,21800,800,94200,14300,6800,10100,9000,7100,23200,3700,23700,7700,7700
2012,129100,50500,8300,40400,1700,78600,11600,9400,7200,3100,6000,21300,4100,20100,8000,8500
2013,136200,45000,4800,38500,1700,91200,15400,8300,7400,6300,5800,23900,-1400,24000,6500,9000
2014,130100,11500,-3900,14700,700,118500,17500,8000,10200,6900,8600,34400,7300,32900,8900,9400
2015,32300,-13300,-21200,7200,700,45600,-8300,2500,5200,4200,3400,11700,-5400,27000,5000,11800
2016,16800,-26000,-14400,-11300,-300,42800,1300,3400,5300,2200,5700,3700,-5100,21100,4900,7400
2017,-3600,-49700,-10900,-38300,-500,46000,-1700,7100,3500,4000,4500,11200,1700,17600,1600,5900
2018,45300,-9600,-2400,-7100,-100,54900,1600,7700,1300,8400,7600,10600,0,17800,3900,5700
2019,69800,10400,-2100,12600,-100,59400,-4000,3100,6200,7300,6400,18600,1200,21900,5200,6000
